Incident_ID,Incident_Type,Unit_Type,Priority,Weather_Index,Hour_of_Day,TurnoutTime_Seconds
1000,Medical,Ladder,2,Rain,6,61
1001,False Alarm,Ladder,1,Clear,23,52
1002,Traffic Accident,Rescue Squad,2,Clear,17,75
1003,Structure Fire,Ladder,2,Clear,9,97
1004,Medical,Chief,1,Clear,14,49
1005,Medical,Ladder,2,Rain,4,63
1006,Medical,Chief,2,Storm,23,88
1007,Wellness Check,Ladder,3,Clear,10,96
1008,Traffic Accident,Chief,2,Clear,7,73
1009,Traffic Accident,Ladder,3,Clear,20,97
1010,Medical,Ladder,2,Rain,7,94
1011,False Alarm,Engine,1,Rain,5,69
1012,Wellness Check,Chief,2,Rain,14,52
1013,Medical,Chief,2,Clear,14,74
1014,Medical,Chief,2,Fog,4,69
1015,Medical,Ambulance,2,Clear,12,55
1016,Medical,Ladder,2,Rain,13,61
1017,Structure Fire,Chief,1,Rain,10,64
1018,Medical,Ambulance,1,Rain,19,35
1019,Medical,Engine,2,Clear,20,73
1020,Traffic Accident,Chief,2,Rain,11,63
1021,Medical,Chief,2,Clear,19,60
1022,Medical,Ambulance,2,Rain,0,67
1023,Medical,Ladder,1,Clear,2,45
1024,Medical,Engine,2,Clear,7,112
1025,Traffic Accident,Chief,2,Clear,22,51
1026,Medical,Ladder,2,Snow,11,113
1027,Structure Fire,Engine,2,Clear,14,55
1028,Structure Fire,Rescue Squad,2,Rain,22,70
1029,Medical,Rescue Squad,2,Rain,2,78
1030,Traffic Accident,Engine,3,Snow,21,150
1031,Medical,Ambulance,2,Clear,7,92
1032,Medical,Engine,2,Rain,23,66
1033,False Alarm,Engine,2,Clear,18,94
1034,False Alarm,Ambulance,2,Clear,19,56
1035,Wellness Check,Ambulance,2,Clear,5,47
1036,Medical,Ladder,2,Clear,17,83
1037,Medical,Ladder,2,Clear,10,79
1038,Traffic Accident,Ambulance,1,Clear,11,36
1039,Medical,Rescue Squad,3,Clear,22,57
1040,Medical,Rescue Squad,2,Clear,1,47
1041,Medical,Engine,2,Clear,4,78
1042,Medical,Chief,2,Clear,3,42
1043,False Alarm,Engine,1,Fog,8,71
1044,Medical,Engine,1,Clear,12,51
1045,Traffic Accident,Chief,1,Clear,12,47
1046,Medical,Ambulance,2,Clear,14,62
1047,Structure Fire,Rescue Squad,3,Clear,1,84
1048,Structure Fire,Engine,2,Clear,22,68
1049,Medical,Chief,2,Clear,12,50
1050,False Alarm,Ladder,2,Storm,6,117
1051,Traffic Accident,Engine,1,Rain,22,37
1052,False Alarm,Rescue Squad,1,Rain,16,77
1053,Wellness Check,Ambulance,2,Storm,7,121
1054,Structure Fire,Engine,3,Fog,17,140
1055,False Alarm,Engine,2,Rain,14,62
1056,Medical,Chief,2,Rain,14,54
1057,Medical,Ladder,3,Clear,4,90
1058,Medical,Ladder,1,Clear,1,54
1059,Medical,Ambulance,2,Clear,15,68
1060,Medical,Rescue Squad,2,Clear,4,65
1061,Medical,Ambulance,2,Storm,22,83
1062,Wellness Check,Engine,1,Clear,5,54
1063,Medical,Engine,2,Rain,11,79
1064,Medical,Ladder,2,Clear,4,57
1065,Structure Fire,Rescue Squad,1,Clear,19,42
1066,Medical,Chief,2,Clear,7,92
1067,Wellness Check,Rescue Squad,1,Clear,10,34
1068,Medical,Engine,3,Clear,13,54
